walker	A	B	C	D	E	log_l	log_p
35	2.143206429e+00	1.661099539e+00	-3.930473357e-01	8.628659701e-02	-9.349095726e-01	1.546455502e+01	4.082199452e-02
36	2.380155404e+00	1.575684663e+00	-4.349077865e-01	8.097887948e-02	-1.044344094e+00	1.790336620e+01	4.082199452e-02
37	2.274014537e+00	1.646140100e+00	-4.566090829e-01	8.321234722e-02	-1.014881138e+00	1.622791942e+01	4.082199452e-02
38	2.324630189e+00	1.671905644e+00	-4.962858921e-01	8.094373092e-02	-1.074310632e+00	1.573311305e+01	4.082199452e-02
39	2.435414229e+00	1.598639804e+00	-4.376034616e-01	8.152346626e-02	-1.140441122e+00	1.730352309e+01	4.082199452e-02
40	2.378448955e+00	1.674225407e+00	-5.072477710e-01	8.119829490e-02	-1.122751535e+00	1.517681747e+01	4.082199452e-02
41	2.305527116e+00	1.652486307e+00	-4.351736570e-01	8.366030262e-02	-1.068195996e+00	1.616801479e+01	4.082199452e-02
42	2.328361393e+00	1.682389183e+00	-5.024006567e-01	8.101138737e-02	-1.072221221e+00	1.530854440e+01	4.082199452e-02
43	2.288712609e+00	1.645051904e+00	-4.339698954e-01	8.373826690e-02	-1.043368264e+00	1.641506791e+01	4.082199452e-02
44	2.414265870e+00	1.644766673e+00	-4.617886965e-01	7.722602114e-02	-1.166880778e+00	1.555381106e+01	4.082199452e-02
45	2.337766950e+00	1.635344961e+00	-4.403085470e-01	8.290691445e-02	-1.080453013e+00	1.674701612e+01	4.082199452e-02
46	2.295455040e+00	1.646332807e+00	-4.452750366e-01	8.336318300e-02	-1.044724959e+00	1.643179990e+01	4.082199452e-02
47	2.485082608e+00	1.669505293e+00	-5.511271422e-01	7.891140201e-02	-1.236282380e+00	1.283738697e+01	4.082199452e-02
48	2.294968993e+00	1.647085869e+00	-4.390788010e-01	8.356118102e-02	-1.048902835e+00	1.639571925e+01	4.082199452e-02
49	2.294759145e+00	1.645907653e+00	-4.459729561e-01	8.334265455e-02	-1.043103309e+00	1.643915484e+01	4.082199452e-02
0	2.042592022e+00	1.501518238e+00	-2.689815870e-01	1.027509294e-01	-5.535634484e-01	1.670208210e+01	4.082199452e-02
